User undefined came online, timestamp: 1302890423755
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890432567
User undefined went offline, timestamp: 1302890434714
User undefined came online, timestamp: 1302890439230
User undefined came online, timestamp: 1302890941811
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890946019
action: colored, x: 289, y: 319, layer: 20, timestamp: 1302890953920
action: colored, x: 292, y: 319, layer: 20, timestamp: 1302890953933
action: colored, x: 294, y: 319, layer: 20, timestamp: 1302890953950
action: colored, x: 295, y: 319, layer: 20, timestamp: 1302890953967
action: colored, x: 297, y: 319, layer: 20, timestamp: 1302890953983
action: colored, x: 299, y: 318, layer: 20, timestamp: 1302890954000
action: colored, x: 301, y: 317, layer: 20, timestamp: 1302890954016
action: colored, x: 304, y: 316, layer: 20, timestamp: 1302890954033
action: colored, x: 305, y: 315, layer: 20, timestamp: 1302890954050
action: colored, x: 312, y: 313, layer: 20, timestamp: 1302890954066
action: colored, x: 317, y: 312, layer: 20, timestamp: 1302890954083
action: colored, x: 323, y: 310, layer: 20, timestamp: 1302890954100
action: colored, x: 330, y: 308, layer: 20, timestamp: 1302890954117
action: colored, x: 335, y: 307, layer: 20, timestamp: 1302890954132
action: colored, x: 341, y: 306, layer: 20, timestamp: 1302890954149
action: colored, x: 347, y: 305, layer: 20, timestamp: 1302890954166
action: colored, x: 349, y: 305, layer: 20, timestamp: 1302890954182
action: colored, x: 351, y: 305, layer: 20, timestamp: 1302890954201
action: colored, x: 352, y: 305, layer: 20, timestamp: 1302890954216
action: colored, x: 369, y: 285, layer: 20, timestamp: 1302890954649
action: colored, x: 370, y: 284, layer: 20, timestamp: 1302890954664
action: colored, x: 370, y: 283, layer: 20, timestamp: 1302890954698
action: colored, x: 371, y: 282, layer: 20, timestamp: 1302890954714
action: colored, x: 371, y: 280, layer: 20, timestamp: 1302890954730
action: colored, x: 373, y: 277, layer: 20, timestamp: 1302890954748
action: colored, x: 376, y: 275, layer: 20, timestamp: 1302890954764
action: colored, x: 379, y: 271, layer: 20, timestamp: 1302890954781
action: colored, x: 382, y: 269, layer: 20, timestamp: 1302890954797
action: colored, x: 387, y: 264, layer: 20, timestamp: 1302890954814
action: colored, x: 393, y: 259, layer: 20, timestamp: 1302890954830
action: colored, x: 399, y: 254, layer: 20, timestamp: 1302890954847
action: colored, x: 405, y: 248, layer: 20, timestamp: 1302890954864
action: colored, x: 407, y: 245, layer: 20, timestamp: 1302890954880
action: colored, x: 409, y: 243, layer: 20, timestamp: 1302890954897
action: colored, x: 410, y: 241, layer: 20, timestamp: 1302890954914
action: colored, x: 412, y: 239, layer: 20, timestamp: 1302890954931
action: colored, x: 413, y: 235, layer: 20, timestamp: 1302890954947
action: colored, x: 415, y: 228, layer: 20, timestamp: 1302890954964
action: colored, x: 418, y: 222, layer: 20, timestamp: 1302890954980
action: colored, x: 419, y: 219, layer: 20, timestamp: 1302890954996
action: colored, x: 420, y: 217, layer: 20, timestamp: 1302890955013
action: colored, x: 420, y: 218, layer: 20, timestamp: 1302890955114
action: colored, x: 420, y: 226, layer: 20, timestamp: 1302890955129
action: colored, x: 420, y: 234, layer: 20, timestamp: 1302890955146
action: colored, x: 418, y: 245, layer: 20, timestamp: 1302890955162
action: colored, x: 418, y: 253, layer: 20, timestamp: 1302890955179
action: colored, x: 417, y: 259, layer: 20, timestamp: 1302890955195
action: colored, x: 417, y: 263, layer: 20, timestamp: 1302890955212
action: colored, x: 417, y: 267, layer: 20, timestamp: 1302890955229
action: colored, x: 416, y: 270, layer: 20, timestamp: 1302890955246
action: colored, x: 414, y: 274, layer: 20, timestamp: 1302890955262
action: colored, x: 412, y: 277, layer: 20, timestamp: 1302890955279
action: colored, x: 410, y: 280, layer: 20, timestamp: 1302890955295
action: colored, x: 407, y: 283, layer: 20, timestamp: 1302890955312
action: colored, x: 404, y: 286, layer: 20, timestamp: 1302890955328
action: colored, x: 400, y: 287, layer: 20, timestamp: 1302890955346
action: colored, x: 391, y: 290, layer: 20, timestamp: 1302890955362
action: colored, x: 383, y: 291, layer: 20, timestamp: 1302890955378
action: colored, x: 370, y: 292, layer: 20, timestamp: 1302890955395
action: colored, x: 354, y: 293, layer: 20, timestamp: 1302890955412
action: colored, x: 340, y: 293, layer: 20, timestamp: 1302890955428
action: colored, x: 327, y: 293, layer: 20, timestamp: 1302890955916
action: colored, x: 318, y: 293, layer: 20, timestamp: 1302890955917
action: colored, x: 312, y: 293, layer: 20, timestamp: 1302890955918
action: colored, x: 306, y: 293, layer: 20, timestamp: 1302890955918
action: colored, x: 301, y: 293, layer: 20, timestamp: 1302890955919
action: colored, x: 299, y: 293, layer: 20, timestamp: 1302890955919
action: colored, x: 300, y: 293, layer: 20, timestamp: 1302890955920
action: colored, x: 305, y: 295, layer: 20, timestamp: 1302890955920
action: colored, x: 314, y: 297, layer: 20, timestamp: 1302890955921
action: colored, x: 329, y: 300, layer: 20, timestamp: 1302890955922
action: colored, x: 344, y: 302, layer: 20, timestamp: 1302890955924
action: colored, x: 360, y: 302, layer: 20, timestamp: 1302890955924
action: colored, x: 372, y: 302, layer: 20, timestamp: 1302890955925
action: colored, x: 379, y: 299, layer: 20, timestamp: 1302890955926
action: colored, x: 385, y: 296, layer: 20, timestamp: 1302890955929
action: colored, x: 387, y: 295, layer: 20, timestamp: 1302890955930
action: colored, x: 388, y: 293, layer: 20, timestamp: 1302890955930
action: colored, x: 390, y: 291, layer: 20, timestamp: 1302890955931
action: colored, x: 390, y: 285, layer: 20, timestamp: 1302890955931
action: colored, x: 388, y: 275, layer: 20, timestamp: 1302890955932
action: colored, x: 383, y: 264, layer: 20, timestamp: 1302890955932
action: colored, x: 376, y: 254, layer: 20, timestamp: 1302890955933
action: colored, x: 366, y: 244, layer: 20, timestamp: 1302890955934
action: colored, x: 359, y: 240, layer: 20, timestamp: 1302890955934
action: colored, x: 350, y: 238, layer: 20, timestamp: 1302890955935
action: colored, x: 343, y: 237, layer: 20, timestamp: 1302890955935
action: colored, x: 339, y: 237, layer: 20, timestamp: 1302890955936
action: colored, x: 334, y: 239, layer: 20, timestamp: 1302890955943
action: colored, x: 328, y: 247, layer: 20, timestamp: 1302890955960
action: colored, x: 323, y: 261, layer: 20, timestamp: 1302890955977
action: colored, x: 320, y: 276, layer: 20, timestamp: 1302890955992
action: colored, x: 318, y: 303, layer: 20, timestamp: 1302890956010
action: colored, x: 318, y: 309, layer: 20, timestamp: 1302890956030
action: colored, x: 318, y: 318, layer: 20, timestamp: 1302890956043
action: colored, x: 321, y: 324, layer: 20, timestamp: 1302890956059
action: colored, x: 51, y: 262, layer: 20, timestamp: 1302890957456
action: colored, x: 51, y: 264, layer: 20, timestamp: 1302890957555
action: colored, x: 51, y: 269, layer: 20, timestamp: 1302890957571
action: colored, x: 52, y: 274, layer: 20, timestamp: 1302890957587
action: colored, x: 53, y: 279, layer: 20, timestamp: 1302890957604
action: colored, x: 53, y: 283, layer: 20, timestamp: 1302890957621
action: colored, x: 54, y: 287, layer: 20, timestamp: 1302890957638
action: colored, x: 55, y: 291, layer: 20, timestamp: 1302890957654
action: colored, x: 59, y: 295, layer: 20, timestamp: 1302890957671
action: colored, x: 64, y: 298, layer: 20, timestamp: 1302890957686
action: colored, x: 71, y: 300, layer: 20, timestamp: 1302890957703
action: colored, x: 88, y: 302, layer: 20, timestamp: 1302890957720
action: colored, x: 103, y: 302, layer: 20, timestamp: 1302890957737
action: colored, x: 114, y: 298, layer: 20, timestamp: 1302890957754
action: colored, x: 123, y: 293, layer: 20, timestamp: 1302890957770
action: colored, x: 128, y: 290, layer: 20, timestamp: 1302890957787
action: colored, x: 130, y: 288, layer: 20, timestamp: 1302890957803
action: colored, x: 129, y: 288, layer: 20, timestamp: 1302890957837
action: colored, x: 125, y: 288, layer: 20, timestamp: 1302890957854
action: colored, x: 114, y: 288, layer: 20, timestamp: 1302890957870
action: colored, x: 98, y: 288, layer: 20, timestamp: 1302890957886
action: colored, x: 84, y: 288, layer: 20, timestamp: 1302890957903
action: colored, x: 66, y: 289, layer: 20, timestamp: 1302890957919
action: colored, x: 59, y: 289, layer: 20, timestamp: 1302890957937
action: colored, x: 54, y: 290, layer: 20, timestamp: 1302890957952
action: colored, x: 52, y: 290, layer: 20, timestamp: 1302890957971
action: colored, x: 53, y: 290, layer: 20, timestamp: 1302890958002
action: colored, x: 59, y: 290, layer: 20, timestamp: 1302890958020
action: colored, x: 64, y: 289, layer: 20, timestamp: 1302890958036
action: colored, x: 71, y: 287, layer: 20, timestamp: 1302890958053
action: colored, x: 76, y: 286, layer: 20, timestamp: 1302890958069
action: colored, x: 78, y: 284, layer: 20, timestamp: 1302890958085
action: colored, x: 78, y: 283, layer: 20, timestamp: 1302890958102
action: colored, x: 78, y: 281, layer: 20, timestamp: 1302890958119
action: colored, x: 75, y: 278, layer: 20, timestamp: 1302890958135
action: colored, x: 67, y: 273, layer: 20, timestamp: 1302890958152
action: colored, x: 61, y: 271, layer: 20, timestamp: 1302890958168
action: colored, x: 58, y: 270, layer: 20, timestamp: 1302890958186
action: colored, x: 55, y: 270, layer: 20, timestamp: 1302890958202
action: colored, x: 55, y: 275, layer: 20, timestamp: 1302890958219
action: colored, x: 58, y: 290, layer: 20, timestamp: 1302890958235
action: colored, x: 64, y: 302, layer: 20, timestamp: 1302890958251
action: colored, x: 68, y: 309, layer: 20, timestamp: 1302890958268
action: colored, x: 73, y: 316, layer: 20, timestamp: 1302890958285
action: colored, x: 76, y: 316, layer: 20, timestamp: 1302890958304
action: colored, x: 80, y: 314, layer: 20, timestamp: 1302890958318
action: colored, x: 83, y: 306, layer: 20, timestamp: 1302890958335
action: colored, x: 85, y: 291, layer: 20, timestamp: 1302890958351
